placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,fault_events_30d,idle_hours_ratio_30d,seatbelt_off_rate_30d,high_speed_ratio_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,after_hours_ratio_30d,safety_score,safety_alert,telemetry_health_score,telemetry_alert,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-181,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-01-05,365,False,19000,8671.13,10859.93,19531.06,-2191.41,0.1,0.05,0.033,2060.03,950.0,626.88,200.0,6.67,11.6,11.6,11.6,607.4,24.4,21.45,3.07,0,0.143,0.219,0.382,118.3,4.48,8.5,0.195,0.765,1,0.56,0,0.238,1.0,0.608,0,0,1,0,2025-07-31,baseline,baseline
LAB-182,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-03-13,180,False,13500,6497.56,6594.12,13091.68,408.32,1.128,0.576,0.296,14866.12,7772.8,3995.37,951.73,31.72,163.69,80.81,38.54,2644.3,97.8,86.39,11.18,5,0.129,0.249,0.419,508.6,24.5,43.33,0.192,0.815,1,0.292,1,0.216,1.0,0.692,0,1,1,0,2025-07-20,fault_alert,fault_alert
LAB-183,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-05-11,365,False,19000,10939.23,8770.33,19709.56,0.0,0.534,0.264,0.115,10120.37,5020.14,2176.16,470.2,15.67,273.08,123.35,61.47,1513.6,60.0,56.59,9.16,2,0.162,0.22,0.371,104.4,12.72,30.42,0.069,0.758,0,0.254,1,0.27,0.977,0.611,0,0,0,0,2025-08-04,baseline,baseline
LAB-184,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-06,240,False,16800,7884.01,5773.38,13657.39,3142.61,0.146,0.146,0.089,2283.6,2448.69,1490.28,200.0,6.67,144.64,144.64,74.85,631.0,24.1,22.12,6.17,0,0.279,0.321,0.263,215.8,3.47,28.29,0.342,0.812,0,0.189,1,0.465,0.693,0.892,1,0,0,0,2025-10-10,consumption_gap,consumption_gap
LAB-185,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2025-12-16,240,False,16800,4564.32,8592.4,13156.72,3643.28,0.492,0.231,0.126,8937.9,3888.67,2109.93,400.87,13.36,277.79,130.38,65.12,1220.8,60.3,48.03,15.26,2,0.318,0.258,0.349,320.6,7.13,35.95,0.263,0.797,0,0.183,1,0.529,0.919,0.716,0,0,0,0,2025-10-04,delinquency,delinquency
LAB-186,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-03-11,365,False,19000,9112.26,5399.28,14511.54,4488.46,0.104,0.104,0.104,2087.97,1972.38,1972.38,200.0,6.67,67.73,67.73,67.73,603.7,26.1,19.89,8.21,0,0.413,0.272,0.305,166.9,2.69,34.35,0.277,0.775,0,0.296,1,0.688,0.803,0.756,1,0,1,0,2025-10-06,consumption_gap,consumption_gap
LAB-187,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-03-19,365,False,19000,11495.15,8498.21,19993.36,-2080.88,0.388,0.336,0.166,7845.8,6378.84,3150.01,355.06,11.84,152.54,129.47,58.55,1020.4,41.8,35.66,6.26,0,0.176,0.32,0.24,292.3,15.1,40.86,0.286,0.786,0,0.253,1,0.293,0.631,0.89,0,0,0,0,2025-07-03,baseline,baseline
LAB-188,AGUASCALIENTES,proteccion_total,520000,19000,48,3,3,0,active,2026-05-04,365,False,19000,11219.22,7642.88,18862.1,137.9,1.375,0.552,0.285,22249.87,10497.1,5408.54,1014.73,33.82,123.1,58.95,32.06,3122.3,133.6,120.79,16.25,0,0.135,0.211,0.306,785.8,40.79,38.26,0.252,0.674,0,0.316,1,0.224,0.806,0.586,0,0,1,0,2025-08-02,baseline,baseline
LAB-189,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-29,240,False,16800,7707.38,10416.67,18124.05,0.0,0.311,0.205,0.1,5659.37,3446.64,1681.98,276.07,9.2,227.3,136.91,66.63,917.0,48.9,37.98,10.73,1,0.282,0.248,0.299,295.8,13.79,39.72,0.323,0.728,0,0.207,1,0.471,0.786,0.689,0,0,0,0,2025-09-10,baseline,baseline
LAB-190,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-02-03,240,False,16800,9879.8,6974.55,16854.35,0.0,0.1,0.05,0.02,1609.58,840.0,336.0,200.0,6.67,11.86,11.86,11.86,652.3,28.6,21.48,6.94,0,0.323,0.245,0.378,83.8,6.38,36.0,0.128,0.806,0,0.472,0,0.539,0.994,0.681,0,0,1,0,2025-08-04,baseline,baseline
LAB-191,AGUASCALIENTES,proteccion_total,520000,19000,48,3,3,0,active,2026-04-16,365,False,19000,11344.28,6711.84,18056.12,943.88,0.957,0.431,0.205,18237.07,8185.38,3890.59,993.98,33.13,191.35,90.68,45.73,2687.0,114.4,90.43,35.54,2,0.393,0.295,0.37,789.1,27.1,8.03,0.294,0.881,0,0.151,1,0.655,0.974,0.819,0,0,1,0,2025-08-15,baseline,baseline
LAB-192,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-04-30,240,True,16800,9009.41,5364.92,14374.33,2425.67,0.317,0.172,0.093,5801.17,2896.64,1563.84,287.89,9.6,272.82,140.36,69.91,911.4,39.5,29.48,13.29,4,0.451,0.294,0.214,303.2,8.55,38.62,0.333,0.716,0,0.137,1,0.751,0.564,0.818,0,1,0,0,2025-09-03,fault_alert,fault_alert
LAB-193,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-03-17,240,False,16800,8204.82,9584.54,17789.36,0.0,0.67,0.309,0.155,9711.24,5189.5,2610.86,567.08,18.9,248.03,116.64,58.38,1481.9,59.6,54.25,20.28,2,0.374,0.331,0.406,289.5,8.36,20.14,0.195,0.952,1,0.135,1,0.623,1.0,0.92,0,0,1,0,2025-07-13,baseline,baseline
LAB-194,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-03-12,365,False,19000,10787.02,8448.78,19235.8,0.0,0.1,0.05,0.02,1669.36,950.0,380.0,200.0,6.67,11.84,11.84,11.84,656.3,26.6,21.84,5.33,0,0.244,0.27,0.381,219.9,5.99,45.03,0.335,0.85,1,0.497,0,0.406,1.0,0.749,0,0,1,0,2025-07-31,baseline,baseline
LAB-195,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,expired,2026-05-04,240,True,16800,4134.67,9921.46,14056.13,2743.87,0.1,0.05,0.03,1769.12,840.0,501.02,200.0,6.67,23.52,23.52,23.52,657.7,31.3,24.02,5.54,0,0.23,0.293,0.287,104.4,6.15,20.89,0.159,0.791,0,0.483,0,0.384,0.756,0.815,0,0,1,0,2025-10-04,delinquency,delinquency
LAB-196,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,0,active,2026-02-04,365,False,17200,8261.84,7983.48,16245.32,954.68,0.678,0.317,0.125,12582.81,5448.4,2148.69,677.04,22.57,236.17,111.19,56.26,2194.0,98.1,82.07,32.87,3,0.401,0.315,0.342,386.9,31.36,11.47,0.176,0.885,0,0.131,1,0.668,0.901,0.875,0,1,1,0,2025-07-13,fault_alert,fault_alert
LAB-197,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-02-27,240,False,16800,8106.1,8948.54,17054.64,0.0,1.6,0.654,0.331,29134.9,10982.8,5568.81,1558.68,51.96,33.75,28.8,24.95,4057.6,182.4,162.29,31.1,0,0.192,0.382,0.331,599.1,51.16,43.61,0.148,0.948,1,0.498,0,0.319,0.871,1.0,0,0,1,0,2025-08-02,baseline,baseline
LAB-198,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-02-22,365,False,19000,13130.34,6455.53,19585.87,0.0,0.548,0.261,0.133,10017.23,4949.68,2533.42,498.41,16.61,268.84,125.78,62.66,1629.0,69.2,56.8,24.92,1,0.439,0.312,0.285,350.4,7.8,46.61,0.215,0.821,0,0.13,1,0.731,0.751,0.867,0,0,0,0,2025-08-12,baseline,baseline
LAB-199,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-03-16,365,True,19000,8423.25,9834.02,18257.27,742.73,0.1,0.088,0.088,1868.83,1675.62,1675.62,200.0,6.67,68.34,68.34,68.34,564.3,30.2,23.31,4.28,5,0.184,0.331,0.312,87.1,5.51,17.88,0.154,0.88,0,0.366,1,0.306,0.821,0.92,0,1,1,0,2025-09-10,fault_alert,fault_alert
